control_id,title,confidentiality,integrity,availability,overlays,csf_categories,source_url
AC-1,Policy and Procedures,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, NC3, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.AC-3, PR.AC-4",https://app.xylok.io/reference/controls/control/AC-1/
AC-2,Account Management,,,,"CMMC, DAF Baseline, NC3, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","DE.CM-3, PR.AC-4",https://app.xylok.io/reference/controls/control/AC-2/
AC-3,Access Enforcement,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-4, PR.PT-3",https://app.xylok.io/reference/controls/control/AC-3/
AC-4,Information Flow Enforcement,,,,"CMMC, DAF Baseline, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","DE.AE-1, ID.AM-3, PR.AC-5, PR.DS-5",https://app.xylok.io/reference/controls/control/AC-4/
AC-5,Separation of Duties,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-4, PR.DS-5",https://app.xylok.io/reference/controls/control/AC-5/
AC-6,Least Privilege,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-4, PR.DS-5",https://app.xylok.io/reference/controls/control/AC-6/
AC-7,Unsuccessful Logon Attempts,,,,"CMMC, DAF Baseline",None,https://app.xylok.io/reference/controls/control/AC-7/
AC-8,System Use Notification,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/AC-8/
AC-9,Previous Logon Notification,,,,"DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/AC-9/
AC-10,Concurrent Session Control,,,,"DAF Baseline, Int-B, Int-C",PR.AC-5,https://app.xylok.io/reference/controls/control/AC-10/
AC-11,Device Lock,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/AC-11/
AC-12,Session Termination,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C",PR.PT-4,https://app.xylok.io/reference/controls/control/AC-12/
AC-14,Permitted Actions Without Identification or Authentication,,,,DAF Baseline,"PR.AC-4, PR.AC-7",https://app.xylok.io/reference/controls/control/AC-14/
AC-16,Security and Privacy Attributes,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (moderate)","PR.AC-4, PR.AC-6",https://app.xylok.io/reference/controls/control/AC-16/
AC-17,Remote Access,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-3, PR.PT-4",https://app.xylok.io/reference/controls/control/AC-17/
AC-18,Wireless Access,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C",PR.PT-4,https://app.xylok.io/reference/controls/control/AC-18/
AC-19,Access Control for Mobile Devices,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (low), Privacy (moderate)",PR.AC-3,https://app.xylok.io/reference/controls/control/AC-19/
AC-20,Use of External Systems,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","ID.AM-4, PR.AC-3",https://app.xylok.io/reference/controls/control/AC-20/
AC-21,Information Sharing,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.IP-8,https://app.xylok.io/reference/controls/control/AC-21/
AC-22,Publicly Accessible Content,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/AC-22/
AC-23,Data Mining Protection,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/AC-23/
AC-24,Access Control Decisions,,,,"DAF Baseline, Int-B, Int-C",PR.AC-4,https://app.xylok.io/reference/controls/control/AC-24/
AC-25,Reference Monitor,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/AC-25/
AT-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3",https://app.xylok.io/reference/controls/control/AT-1/
AT-2,Literacy Training and Awareness,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",PR.AT-1,https://app.xylok.io/reference/controls/control/AT-2/
AT-3,Role-based Training,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","PR.AT-2, PR.AT-3, PR.AT-4, PR.AT-5",https://app.xylok.io/reference/controls/control/AT-3/
AT-4,Training Records,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/AT-4/
